,UNIT,DATEn,TIMEn,DESCn,ENTRIESn_hourly,EXITSn_hourly,Hour
0,R022,05-01-11,00:00:00,REGULAR,0.0,0.0,0
1,R022,05-01-11,04:00:00,REGULAR,562.0,173.0,4
2,R022,05-01-11,08:00:00,REGULAR,160.0,194.0,8
3,R022,05-01-11,12:00:00,REGULAR,820.0,1025.0,12
4,R022,05-01-11,16:00:00,REGULAR,2385.0,1954.0,16
5,R022,05-01-11,20:00:00,REGULAR,3631.0,2010.0,20
6,R022,05-02-11,00:00:00,REGULAR,1788.0,733.0,0
7,R022,05-02-11,04:00:00,REGULAR,246.0,70.0,4
8,R022,05-02-11,08:00:00,REGULAR,236.0,767.0,8
9,R022,05-02-11,12:00:00,REGULAR,1611.0,3681.0,12
10,R022,05-02-11,16:00:00,REGULAR,3675.0,2337.0,16
11,R022,05-02-11,20:00:00,REGULAR,7598.0,2500.0,20
12,R022,05-03-11,00:00:00,REGULAR,3395.0,717.0,0
13,R022,05-03-11,04:00:00,REGULAR,309.0,52.0,4
14,R022,05-03-11,08:00:00,REGULAR,250.0,779.0,8
15,R022,05-03-11,12:00:00,REGULAR,138.0,1192.0,12
16,R022,05-03-11,16:00:00,REGULAR,3919.0,3471.0,16
17,R022,05-03-11,20:00:00,REGULAR,9651.0,4037.0,20
18,R022,05-04-11,00:00:00,REGULAR,3687.0,789.0,0
19,R022,05-04-11,04:00:00,REGULAR,285.0,66.0,4
20,R022,05-04-11,08:00:00,REGULAR,266.0,738.0,8
21,R022,05-04-11,12:00:00,REGULAR,1657.0,3411.0,12
22,R022,05-04-11,16:00:00,REGULAR,3651.0,2943.0,16
23,R022,05-04-11,20:00:00,REGULAR,7877.0,2706.0,20
24,R022,05-05-11,00:00:00,REGULAR,3514.0,766.0,0
25,R022,05-05-11,04:00:00,REGULAR,145.0,49.0,4
26,R022,05-05-11,08:00:00,REGULAR,366.0,756.0,8
27,R022,05-05-11,12:00:00,REGULAR,1913.0,3968.0,12
28,R022,05-05-11,16:00:00,REGULAR,4269.0,2662.0,16
29,R022,05-05-11,20:00:00,REGULAR,5846.0,2414.0,20
30,R022,05-06-11,00:00:00,REGULAR,2912.0,796.0,0
31,R022,05-06-11,04:00:00,REGULAR,4046.0,695.0,4
32,R022,05-06-11,08:00:00,REGULAR,246.0,633.0,8
33,R022,05-06-11,12:00:00,REGULAR,1615.0,3653.0,12
34,R022,05-06-11,16:00:00,REGULAR,4360.0,2667.0,16
35,R022,05-06-11,20:00:00,REGULAR,8221.0,2738.0,20
36,R023,05-01-11,00:00:00,REGULAR,0.0,0.0,0
37,R023,05-01-11,04:00:00,REGULAR,1094.0,408.0,4
38,R023,05-01-11,08:00:00,REGULAR,445.0,654.0,8
39,R023,05-01-11,12:00:00,REGULAR,1580.0,3013.0,12
40,R023,05-01-11,16:00:00,REGULAR,2457.0,3270.0,16
41,R023,05-01-11,20:00:00,REGULAR,3743.0,2838.0,20
42,R023,05-02-11,00:00:00,REGULAR,2620.0,1191.0,0
43,R023,05-02-11,04:00:00,REGULAR,400.0,124.0,4
44,R023,05-02-11,08:00:00,REGULAR,1748.0,2408.0,8
45,R023,05-02-11,08:06:37,REGULAR,115.0,210.0,8
46,R023,05-02-11,12:00:00,REGULAR,4885.0,9513.0,12
47,R023,05-02-11,16:00:00,REGULAR,4190.0,4505.0,16
48,R023,05-02-11,20:00:00,REGULAR,10874.0,6858.0,20
49,R023,05-03-11,00:00:00,REGULAR,3767.0,1622.0,0
50,R023,05-03-11,04:00:00,REGULAR,546.0,142.0,4
51,R023,05-03-11,08:00:00,REGULAR,1073.0,1891.0,8
52,R023,05-03-11,12:00:00,REGULAR,5931.0,10779.0,12
53,R023,05-03-11,16:00:00,REGULAR,4449.0,4794.0,16
54,R023,05-03-11,20:00:00,REGULAR,11217.0,7131.0,20
55,R023,05-04-11,00:00:00,REGULAR,4322.0,1828.0,0
56,R023,05-04-11,04:00:00,REGULAR,623.0,167.0,4
57,R023,05-04-11,08:00:00,REGULAR,1832.0,2519.0,8
58,R023,05-04-11,12:00:00,REGULAR,4817.0,5304.0,12
59,R023,05-04-11,16:00:00,REGULAR,4599.0,8346.0,16
60,R023,05-04-11,20:00:00,REGULAR,10744.0,6934.0,20
61,R023,05-05-11,00:00:00,REGULAR,4838.0,2879.0,0
62,R023,05-05-11,04:00:00,REGULAR,651.0,154.0,4
63,R023,05-05-11,08:00:00,REGULAR,1729.0,2612.0,8
64,R023,05-05-11,12:00:00,REGULAR,3669.0,9434.0,12
65,R023,05-05-11,16:00:00,REGULAR,4030.0,4136.0,16
66,R023,05-05-11,20:00:00,REGULAR,8273.0,5438.0,20
67,R023,05-06-11,00:00:00,REGULAR,9762.0,5821.0,0
68,R023,05-06-11,04:00:00,REGULAR,872.0,266.0,4
69,R023,05-06-11,08:00:00,REGULAR,942.0,2307.0,8
70,R023,05-06-11,12:00:00,REGULAR,5591.0,10010.0,12
71,R023,05-06-11,14:58:43,REGULAR,3330.0,3802.0,14
72,R023,05-06-11,16:00:00,REGULAR,1641.0,1701.0,16
73,R023,05-06-11,20:00:00,REGULAR,10890.0,7559.0,20
74,R032,05-01-11,00:00:00,REGULAR,0.0,0.0,0
75,R032,05-01-11,04:00:00,REGULAR,163.0,262.0,4
76,R032,05-01-11,08:00:00,REGULAR,65.0,237.0,8
77,R032,05-01-11,12:00:00,REGULAR,257.0,1292.0,12
78,R032,05-01-11,16:00:00,REGULAR,529.0,2237.0,16
79,R032,05-01-11,20:00:00,REGULAR,786.0,2086.0,20
80,R032,05-02-11,00:00:00,REGULAR,440.0,1002.0,0
81,R032,05-02-11,04:00:00,REGULAR,56.0,122.0,4
82,R032,05-02-11,08:00:00,REGULAR,541.0,1064.0,8
83,R032,05-02-11,12:00:00,REGULAR,220.0,2413.0,12
84,R032,05-02-11,16:00:00,REGULAR,2415.0,5379.0,16
85,R032,05-02-11,20:00:00,REGULAR,5311.0,4117.0,20
86,R032,05-03-11,00:00:00,REGULAR,3085.0,3098.0,0
87,R032,05-03-11,04:00:00,REGULAR,118.0,111.0,4
88,R032,05-03-11,08:00:00,REGULAR,186.0,692.0,8
89,R032,05-03-11,12:00:00,REGULAR,2009.0,7785.0,12
90,R032,05-03-11,16:00:00,REGULAR,1984.0,3206.0,16
91,R032,05-03-11,20:00:00,REGULAR,6455.0,4036.0,20
92,R032,05-04-11,00:00:00,REGULAR,1190.0,1011.0,0
93,R032,05-04-11,04:00:00,REGULAR,104.0,86.0,4
94,R032,05-04-11,08:00:00,REGULAR,575.0,1090.0,8
95,R032,05-04-11,12:00:00,REGULAR,1488.0,7609.0,12
96,R032,05-04-11,16:00:00,REGULAR,2000.0,3187.0,16
97,R032,05-04-11,20:00:00,REGULAR,6799.0,3653.0,20
98,R032,05-05-11,00:00:00,REGULAR,1199.0,888.0,0
99,R032,05-05-11,04:00:00,REGULAR,116.0,75.0,4
100,R032,05-05-11,08:00:00,REGULAR,589.0,1053.0,8
101,R032,05-05-11,12:00:00,REGULAR,1781.0,7683.0,12
102,R032,05-05-11,16:00:00,REGULAR,2057.0,3351.0,16
103,R032,05-05-11,20:00:00,REGULAR,6453.0,4131.0,20
104,R032,05-06-11,00:00:00,REGULAR,1261.0,1133.0,0
105,R032,05-06-11,04:00:00,REGULAR,155.0,161.0,4
106,R032,05-06-11,11:40:41,REGULAR,1994.0,7905.0,11
107,R032,05-06-11,11:43:35,REGULAR,25.0,31.0,11
108,R032,05-06-11,12:00:00,REGULAR,114.0,234.0,12
109,R032,05-06-11,16:00:00,REGULAR,2279.0,3464.0,16
110,R032,05-06-11,20:00:00,REGULAR,5787.0,4209.0,20
111,R051,05-01-11,00:00:00,REGULAR,0.0,0.0,0
112,R051,05-01-11,04:00:00,REGULAR,344.0,208.0,4
113,R051,05-01-11,08:00:00,REGULAR,183.0,229.0,8
114,R051,05-01-11,12:00:00,REGULAR,878.0,1000.0,12
115,R051,05-01-11,16:00:00,REGULAR,1866.0,1108.0,16
116,R051,05-01-11,20:00:00,REGULAR,2149.0,1166.0,20
117,R051,05-02-11,00:00:00,REGULAR,1160.0,425.0,0
118,R051,05-02-11,04:00:00,REGULAR,105.0,48.0,4
119,R051,05-02-11,08:00:00,REGULAR,670.0,1472.0,8
120,R051,05-02-11,12:00:00,REGULAR,2630.0,3600.0,12
121,R051,05-02-11,16:00:00,REGULAR,2592.0,1459.0,16
122,R051,05-02-11,20:00:00,REGULAR,6560.0,2084.0,20
123,R051,05-03-11,00:00:00,REGULAR,1923.0,652.0,0
124,R051,05-03-11,04:00:00,REGULAR,134.0,77.0,4
125,R051,05-03-11,08:00:00,REGULAR,712.0,1547.0,8
126,R051,05-03-11,12:00:00,REGULAR,2727.0,3651.0,12
127,R051,05-03-11,16:00:00,REGULAR,2826.0,1427.0,16
128,R051,05-03-11,20:00:00,REGULAR,6953.0,2120.0,20
129,R051,05-04-11,00:00:00,REGULAR,2146.0,760.0,0
130,R051,05-04-11,04:00:00,REGULAR,160.0,71.0,4
131,R051,05-04-11,08:00:00,REGULAR,695.0,1554.0,8
132,R051,05-04-11,12:00:00,REGULAR,2918.0,3647.0,12
133,R051,05-04-11,16:00:00,REGULAR,2844.0,1471.0,16
134,R051,05-04-11,20:00:00,REGULAR,6628.0,2215.0,20
135,R051,05-05-11,00:00:00,REGULAR,2059.0,717.0,0
136,R051,05-05-11,04:00:00,REGULAR,153.0,63.0,4
137,R051,05-05-11,08:00:00,REGULAR,692.0,1526.0,8
138,R051,05-05-11,12:00:00,REGULAR,4.0,1.0,12
139,R051,05-05-11,16:00:00,REGULAR,839.0,19.0,16
140,R051,05-05-11,20:00:00,REGULAR,8869.0,4036.0,20
141,R051,05-06-11,00:00:00,REGULAR,4990.0,4207.0,0
142,R051,05-06-11,04:00:00,REGULAR,244.0,113.0,4
143,R051,05-06-11,08:00:00,REGULAR,665.0,1403.0,8
144,R051,05-06-11,12:00:00,REGULAR,2584.0,3668.0,12
145,R051,05-06-11,16:00:00,REGULAR,3070.0,1655.0,16
146,R051,05-06-11,20:00:00,REGULAR,6472.0,2033.0,20
147,R079,05-01-11,02:00:00,REGULAR,0.0,0.0,2
148,R079,05-01-11,06:00:00,REGULAR,98.0,49.0,6
149,R079,05-01-11,10:00:00,REGULAR,260.0,1031.0,10
150,R079,05-01-11,14:00:00,REGULAR,1586.0,3402.0,14
151,R079,05-01-11,18:00:00,REGULAR,4333.0,2322.0,18
152,R079,05-01-11,22:00:00,REGULAR,2479.0,492.0,22
153,R079,05-02-11,02:00:00,REGULAR,1203.0,954.0,2
154,R079,05-02-11,06:00:00,REGULAR,29.0,166.0,6
155,R079,05-02-11,10:00:00,REGULAR,817.0,6812.0,10
156,R079,05-02-11,14:00:00,REGULAR,2361.0,3747.0,14
157,R079,05-02-11,18:00:00,REGULAR,5981.0,2059.0,18
158,R079,05-02-11,22:00:00,REGULAR,5466.0,1216.0,22
159,R079,05-03-11,02:00:00,REGULAR,1879.0,866.0,2
160,R079,05-03-11,06:00:00,REGULAR,1224.0,864.0,6
161,R079,05-03-11,10:00:00,REGULAR,858.0,7536.0,10
162,R079,05-03-11,14:00:00,REGULAR,2514.0,4049.0,14
163,R079,05-03-11,18:00:00,REGULAR,8235.0,3395.0,18
164,R079,05-03-11,22:00:00,REGULAR,6329.0,1511.0,22
165,R079,05-04-11,02:00:00,REGULAR,1007.0,241.0,2
166,R079,05-04-11,06:00:00,REGULAR,58.0,213.0,6
167,R079,05-04-11,08:24:29,REGULAR,95.0,518.0,8
168,R079,05-04-11,10:00:00,REGULAR,977.0,7385.0,10
169,R079,05-04-11,14:00:00,REGULAR,2535.0,3580.0,14
170,R079,05-04-11,18:00:00,REGULAR,7778.0,3503.0,18
171,R079,05-04-11,22:00:00,REGULAR,5948.0,1861.0,22
172,R079,05-05-11,02:00:00,REGULAR,987.0,323.0,2
173,R079,05-05-11,06:00:00,REGULAR,47.0,183.0,6
174,R079,05-05-11,08:45:57,REGULAR,97.0,1276.0,8
175,R079,05-05-11,10:00:00,REGULAR,758.0,7315.0,10
176,R079,05-05-11,14:00:00,REGULAR,2645.0,5279.0,14
177,R079,05-05-11,18:00:00,REGULAR,8510.0,4594.0,18
178,R079,05-05-11,22:00:00,REGULAR,6529.0,2017.0,22
179,R079,05-06-11,02:00:00,REGULAR,1153.0,393.0,2
180,R079,05-06-11,06:00:00,REGULAR,90.0,242.0,6
181,R079,05-06-11,10:00:00,REGULAR,889.0,7698.0,10
182,R079,05-06-11,14:00:00,REGULAR,2778.0,5110.0,14
183,R079,05-06-11,18:00:00,REGULAR,8905.0,4677.0,18
184,R079,05-06-11,22:00:00,REGULAR,5870.0,1957.0,22
185,R080,05-01-11,00:00:00,REGULAR,0.0,0.0,0
186,R080,05-01-11,04:00:00,REGULAR,1061.0,364.0,4
187,R080,05-01-11,08:00:00,REGULAR,367.0,488.0,8
188,R080,05-01-11,12:00:00,REGULAR,2266.0,2283.0,12
189,R080,05-01-11,16:00:00,REGULAR,2896.0,1861.0,16
190,R080,05-01-11,20:00:00,REGULAR,5001.0,2202.0,20
191,R080,05-02-11,00:00:00,REGULAR,1943.0,493.0,0
192,R080,05-02-11,04:00:00,REGULAR,2071.0,1537.0,4
193,R080,05-02-11,08:00:00,REGULAR,545.0,1347.0,8
194,R080,05-02-11,12:00:00,REGULAR,3832.0,7420.0,12
195,R080,05-02-11,16:00:00,REGULAR,5294.0,2795.0,16
196,R080,05-02-11,20:00:00,REGULAR,12322.0,2791.0,20
197,R080,05-03-11,00:00:00,REGULAR,4447.0,927.0,0
198,R080,05-03-11,04:00:00,REGULAR,632.0,122.0,4
199,R080,05-03-11,07:15:52,REGULAR,180.0,202.0,7
200,R080,05-03-11,08:00:00,REGULAR,760.0,2095.0,8
201,R080,05-03-11,12:00:00,REGULAR,3793.0,7020.0,12
202,R080,05-03-11,14:13:19,REGULAR,1724.0,608.0,14
203,R080,05-03-11,16:00:00,REGULAR,4186.0,2271.0,16
204,R080,05-03-11,20:00:00,REGULAR,12778.0,3069.0,20
205,R080,05-04-11,00:00:00,REGULAR,5301.0,1099.0,0
206,R080,05-04-11,04:00:00,REGULAR,719.0,158.0,4
207,R080,05-04-11,08:00:00,REGULAR,739.0,1952.0,8
208,R080,05-04-11,12:00:00,REGULAR,4184.0,7472.0,12
209,R080,05-04-11,16:00:00,REGULAR,5973.0,3040.0,16
210,R080,05-04-11,20:00:00,REGULAR,12677.0,3093.0,20
211,R080,05-05-11,00:00:00,REGULAR,4763.0,1098.0,0
212,R080,05-05-11,04:00:00,REGULAR,518.0,103.0,4
213,R080,05-05-11,08:00:00,REGULAR,873.0,1533.0,8
214,R080,05-05-11,12:00:00,REGULAR,4496.0,7734.0,12
215,R080,05-05-11,16:00:00,REGULAR,6201.0,3402.0,16
216,R080,05-05-11,20:00:00,REGULAR,12403.0,3442.0,20
217,R080,05-06-11,00:00:00,REGULAR,5483.0,1246.0,0
218,R080,05-06-11,04:00:00,REGULAR,960.0,220.0,4
219,R080,05-06-11,08:00:00,REGULAR,343.0,1338.0,8
220,R080,05-06-11,12:00:00,REGULAR,4184.0,7427.0,12
221,R080,05-06-11,13:00:05,REGULAR,108.0,36.0,13
222,R080,05-06-11,16:00:00,REGULAR,5409.0,2986.0,16
223,R080,05-06-11,20:00:00,REGULAR,10489.0,3191.0,20
224,R081,05-01-11,00:00:00,REGULAR,0.0,0.0,0
225,R081,05-01-11,04:00:00,REGULAR,1196.0,335.0,4
226,R081,05-01-11,08:00:00,REGULAR,215.0,393.0,8
227,R081,05-01-11,12:00:00,REGULAR,1894.0,2750.0,12
228,R081,05-01-11,16:00:00,REGULAR,2902.0,3505.0,16
229,R081,05-01-11,18:47:00,REGULAR,289.0,76.0,18
230,R081,05-01-11,19:00:15,REGULAR,334.0,48.0,19
231,R081,05-01-11,19:11:41,REGULAR,223.0,34.0,19
232,R081,05-01-11,20:00:00,REGULAR,2612.0,2378.0,20
233,R081,05-02-11,00:00:00,REGULAR,2517.0,1087.0,0
234,R081,05-02-11,04:00:00,REGULAR,2159.0,468.0,4
235,R081,05-02-11,06:14:12,REGULAR,6.0,20.0,6
236,R081,05-02-11,08:00:00,REGULAR,332.0,2648.0,8
237,R081,05-02-11,12:00:00,REGULAR,2432.0,6977.0,12
238,R081,05-02-11,16:00:00,REGULAR,4472.0,3787.0,16
239,R081,05-02-11,20:00:00,REGULAR,11620.0,6958.0,20
240,R081,05-03-11,00:00:00,REGULAR,3979.0,1424.0,0
241,R081,05-03-11,04:00:00,REGULAR,581.0,111.0,4
242,R081,05-03-11,08:00:00,REGULAR,468.0,2910.0,8
243,R081,05-03-11,12:00:00,REGULAR,3147.0,9490.0,12
244,R081,05-03-11,16:00:00,REGULAR,4464.0,4198.0,16
245,R081,05-03-11,20:00:00,REGULAR,11444.0,5403.0,20
246,R081,05-04-11,00:00:00,REGULAR,4987.0,1487.0,0
247,R081,05-04-11,04:00:00,REGULAR,658.0,137.0,4
248,R081,05-04-11,08:00:00,REGULAR,468.0,1651.0,8
249,R081,05-04-11,12:00:00,REGULAR,3327.0,11054.0,12
250,R081,05-04-11,16:00:00,REGULAR,4552.0,5201.0,16
251,R081,05-04-11,20:00:00,REGULAR,12158.0,4685.0,20
252,R081,05-05-11,00:00:00,REGULAR,4950.0,1473.0,0
253,R081,05-05-11,04:00:00,REGULAR,741.0,159.0,4
254,R081,05-05-11,08:00:00,REGULAR,414.0,2051.0,8
255,R081,05-05-11,12:00:00,REGULAR,3347.0,10625.0,12
256,R081,05-05-11,16:00:00,REGULAR,4692.0,4510.0,16
257,R081,05-05-11,20:00:00,REGULAR,11486.0,5937.0,20
258,R081,05-06-11,00:00:00,REGULAR,5904.0,1888.0,0
259,R081,05-06-11,04:00:00,REGULAR,907.0,219.0,4
260,R081,05-06-11,08:00:00,REGULAR,388.0,2562.0,8
261,R081,05-06-11,12:00:00,REGULAR,3307.0,8961.0,12
262,R081,05-06-11,16:00:00,REGULAR,4522.0,4987.0,16
263,R081,05-06-11,20:00:00,REGULAR,11658.0,5919.0,20
264,R082,05-01-11,00:00:00,REGULAR,0.0,0.0,0
265,R082,05-01-11,04:00:00,REGULAR,227.0,187.0,4
266,R082,05-01-11,08:00:00,REGULAR,43.0,108.0,8
267,R082,05-01-11,12:00:00,REGULAR,792.0,1552.0,12
268,R082,05-01-11,16:00:00,REGULAR,1300.0,1640.0,16
269,R082,05-01-11,20:00:00,REGULAR,1319.0,1400.0,20
270,R082,05-02-11,00:00:00,REGULAR,600.0,505.0,0
271,R082,05-02-11,04:00:00,REGULAR,87.0,66.0,4
272,R082,05-02-11,08:00:00,REGULAR,64.0,497.0,8
273,R082,05-02-11,12:00:00,REGULAR,1981.0,5995.0,12
274,R082,05-02-11,16:00:00,REGULAR,2375.0,2634.0,16
275,R082,05-02-11,20:00:00,REGULAR,4921.0,2801.0,20
276,R082,05-03-11,00:00:00,REGULAR,1198.0,588.0,0
277,R082,05-03-11,04:00:00,REGULAR,87.0,76.0,4
278,R082,05-03-11,08:00:00,REGULAR,66.0,286.0,8
279,R082,05-03-11,12:00:00,REGULAR,2002.0,6402.0,12
280,R082,05-03-11,16:00:00,REGULAR,2595.0,2853.0,16
281,R082,05-03-11,20:00:00,REGULAR,5128.0,3041.0,20
282,R082,05-04-11,00:00:00,REGULAR,1394.0,702.0,0
283,R082,05-04-11,04:00:00,REGULAR,106.0,57.0,4
284,R082,05-04-11,08:00:00,REGULAR,154.0,421.0,8
285,R082,05-04-11,12:00:00,REGULAR,2036.0,6624.0,12
286,R082,05-04-11,16:00:00,REGULAR,2659.0,2843.0,16
287,R082,05-04-11,20:00:00,REGULAR,5427.0,3055.0,20
288,R082,05-05-11,00:00:00,REGULAR,1360.0,729.0,0
289,R082,05-05-11,04:00:00,REGULAR,120.0,53.0,4
290,R082,05-05-11,08:00:00,REGULAR,173.0,452.0,8
291,R082,05-05-11,12:00:00,REGULAR,1958.0,6213.0,12
292,R082,05-05-11,16:00:00,REGULAR,2682.0,3028.0,16
293,R082,05-05-11,20:00:00,REGULAR,5084.0,3277.0,20
294,R082,05-06-11,00:00:00,REGULAR,1448.0,914.0,0
295,R082,05-06-11,04:00:00,REGULAR,120.0,81.0,4
296,R082,05-06-11,08:00:00,REGULAR,63.0,377.0,8
297,R082,05-06-11,12:00:00,REGULAR,2138.0,5054.0,12
298,R082,05-06-11,16:00:00,REGULAR,2391.0,2131.0,16
299,R082,05-06-11,20:00:00,REGULAR,4350.0,3243.0,20
300,R083,05-01-11,00:00:00,REGULAR,0.0,0.0,0
301,R083,05-01-11,04:00:00,REGULAR,606.0,137.0,4
302,R083,05-01-11,08:00:00,REGULAR,97.0,61.0,8
303,R083,05-01-11,12:00:00,REGULAR,1306.0,1277.0,12
304,R083,05-01-11,16:00:00,REGULAR,3433.0,1553.0,16
305,R083,05-01-11,20:00:00,REGULAR,2870.0,1327.0,20
306,R083,05-02-11,00:00:00,REGULAR,1453.0,371.0,0
307,R083,05-02-11,04:00:00,REGULAR,150.0,37.0,4
308,R083,05-02-11,08:00:00,REGULAR,491.0,1014.0,8
309,R083,05-02-11,12:00:00,REGULAR,2874.0,5947.0,12
310,R083,05-02-11,16:00:00,REGULAR,4572.0,2491.0,16
311,R083,05-02-11,20:00:00,REGULAR,9983.0,2465.0,20
312,R083,05-03-11,00:00:00,REGULAR,3151.0,481.0,0
313,R083,05-03-11,04:00:00,REGULAR,227.0,56.0,4
314,R083,05-03-11,08:00:00,REGULAR,368.0,852.0,8
315,R083,05-03-11,12:00:00,REGULAR,3217.0,7041.0,12
316,R083,05-03-11,16:00:00,REGULAR,4865.0,2629.0,16
317,R083,05-03-11,20:00:00,REGULAR,10641.0,2668.0,20
318,R083,05-04-11,00:00:00,REGULAR,3837.0,550.0,0
319,R083,05-04-11,04:00:00,REGULAR,279.0,78.0,4
320,R083,05-04-11,08:00:00,REGULAR,440.0,1114.0,8
321,R083,05-04-11,12:00:00,REGULAR,3227.0,6605.0,12
322,R083,05-04-11,16:00:00,REGULAR,4071.0,2051.0,16
323,R083,05-04-11,20:00:00,REGULAR,10475.0,2650.0,20
324,R083,05-05-11,00:00:00,REGULAR,4640.0,893.0,0
325,R083,05-05-11,04:00:00,REGULAR,260.0,41.0,4
326,R083,05-05-11,08:00:00,REGULAR,326.0,481.0,8
327,R083,05-05-11,10:16:55,REGULAR,201.0,553.0,10
328,R083,05-05-11,10:40:58,REGULAR,132.0,325.0,10
329,R083,05-05-11,11:11:58,REGULAR,115.0,322.0,11
330,R083,05-05-11,12:00:00,REGULAR,2654.0,5115.0,12
331,R083,05-05-11,16:00:00,REGULAR,3213.0,2020.0,16
332,R083,05-05-11,20:00:00,REGULAR,11202.0,3786.0,20
333,R083,05-06-11,00:00:00,REGULAR,5488.0,972.0,0
334,R083,05-06-11,04:00:00,REGULAR,429.0,57.0,4
335,R083,05-06-11,08:00:00,REGULAR,330.0,599.0,8
336,R083,05-06-11,12:00:00,REGULAR,3154.0,5812.0,12
337,R083,05-06-11,16:00:00,REGULAR,5355.0,2583.0,16
338,R083,05-06-11,20:00:00,REGULAR,9214.0,2456.0,20
339,R170,05-01-11,01:00:00,REGULAR,0.0,0.0,1
340,R170,05-01-11,05:00:00,REGULAR,1660.0,542.0,5
341,R170,05-01-11,09:00:00,REGULAR,506.0,1217.0,9
342,R170,05-01-11,13:00:00,REGULAR,2632.0,6153.0,13
343,R170,05-01-11,17:00:00,REGULAR,7384.0,8362.0,17
344,R170,05-01-11,21:00:00,REGULAR,7464.0,5398.0,21
345,R170,05-02-11,01:00:00,REGULAR,3230.0,1136.0,1
346,R170,05-02-11,05:00:00,REGULAR,377.0,219.0,5
347,R170,05-02-11,09:00:00,REGULAR,1860.0,6448.0,9
348,R170,05-02-11,13:00:00,REGULAR,4224.0,9045.0,13
349,R170,05-02-11,17:00:00,REGULAR,6863.0,4104.0,17
350,R170,05-02-11,21:00:00,REGULAR,11551.0,3640.0,21
351,R170,05-03-11,01:00:00,REGULAR,6069.0,1543.0,1
352,R170,05-03-11,05:00:00,REGULAR,6722.0,10310.0,5
353,R170,05-03-11,09:00:00,REGULAR,1868.0,6747.0,9
354,R170,05-03-11,13:00:00,REGULAR,4474.0,10893.0,13
355,R170,05-03-11,17:00:00,REGULAR,8658.0,8591.0,17
356,R170,05-03-11,21:00:00,REGULAR,15251.0,9014.0,21
357,R170,05-04-11,01:00:00,REGULAR,4736.0,1570.0,1
358,R170,05-04-11,05:00:00,REGULAR,5044.0,404.0,5
359,R170,05-04-11,09:00:00,REGULAR,1868.0,6967.0,9
360,R170,05-04-11,13:00:00,REGULAR,4571.0,11292.0,13
361,R170,05-04-11,17:00:00,REGULAR,9180.0,8354.0,17
362,R170,05-04-11,21:00:00,REGULAR,15607.0,8747.0,21
363,R170,05-05-11,01:00:00,REGULAR,5268.0,1593.0,1
364,R170,05-05-11,05:00:00,REGULAR,457.0,172.0,5
365,R170,05-05-11,09:00:00,REGULAR,1845.0,6519.0,9
366,R170,05-05-11,13:00:00,REGULAR,4915.0,11668.0,13
367,R170,05-05-11,17:00:00,REGULAR,10872.0,9311.0,17
368,R170,05-05-11,21:00:00,REGULAR,16636.0,10343.0,21
369,R170,05-06-11,01:00:00,REGULAR,6794.0,2309.0,1
370,R170,05-06-11,05:00:00,REGULAR,1184.0,379.0,5
371,R170,05-06-11,09:00:00,REGULAR,1734.0,6358.0,9
372,R170,05-06-11,13:00:00,REGULAR,5159.0,11416.0,13
373,R170,05-06-11,16:03:04,REGULAR,4166.0,3547.0,16
374,R170,05-06-11,17:00:00,REGULAR,7340.0,6536.0,17
375,R170,05-06-11,21:00:00,REGULAR,17037.0,11134.0,21
